,TL,FL,CING,PL,OL,INSULA,Hypothalamus,All other
TL,1.0,0.07897706462989713,-0.002269330507826978,0.3343420031555245,0.6317058891316903,0.11818520967933462,0.028903665650803996,0.3488532247264798
FL,0.07897706462989713,1.0,0.7449987557041677,0.7165009265619249,0.4857589845543073,0.5475700843888553,0.05782907564366029,0.4685929987395418
CING,-0.002269330507826978,0.7449987557041677,1.0,0.2725899251342928,0.17075358644284253,0.38681447382359196,-0.15993508745812085,0.27217360175223587
PL,0.3343420031555245,0.7165009265619249,0.2725899251342928,1.0,0.7502174748121178,0.626240268346599,0.029012942659282972,0.8256770538998021
OL,0.6317058891316903,0.4857589845543073,0.17075358644284253,0.7502174748121178,1.0,0.41143073565082866,0.39498005644879824,0.7591086587280774
INSULA,0.11818520967933462,0.5475700843888553,0.38681447382359196,0.626240268346599,0.41143073565082866,1.0,-0.07280867138841983,0.3987802836998934
Hypothalamus,0.028903665650803996,0.05782907564366029,-0.15993508745812085,0.029012942659282972,0.39498005644879824,-0.07280867138841983,1.0,0.0
All other,0.3488532247264798,0.4685929987395418,0.27217360175223587,0.8256770538998021,0.7591086587280774,0.3987802836998934,0.0,1.0
