,Temporal Lobe,Frontal Lobe,Cingulate,Parietal Lobe,Occipital Lobe,Insula,Hypothalamus
Temporal Lobe,1.0,0.7166771748335793,0.6028464233515882,0.6661996644490652,0.4096059548233748,0.543988162148013,0.5103791765853669
Frontal Lobe,0.7166771748335793,1.0,0.7885454743053737,0.5982906041634738,0.38639346169688843,0.4031046453937555,0.4672462771203131
Cingulate,0.6028464233515882,0.7885454743053737,1.0,0.25825506390024644,0.14532892174476317,0.4043070491550303,0.3263479284551589
Parietal Lobe,0.6661996644490652,0.5982906041634738,0.25825506390024644,1.0,0.5876419331970082,0.5570238783602616,0.5559907160303219
Occipital Lobe,0.4096059548233748,0.38639346169688843,0.14532892174476317,0.5876419331970082,1.0,0.10458896396396396,0.3036032470644157
Insula,0.543988162148013,0.4031046453937555,0.4043070491550303,0.5570238783602616,0.10458896396396396,1.0,0.413572841553526
Hypothalamus,0.5103791765853669,0.4672462771203131,0.3263479284551589,0.5559907160303219,0.3036032470644157,0.413572841553526,1.0
