,Temporal Lobe,Frontal Lobe,Cingulate,Parietal Lobe,Occipital Lobe,Insula,Hypothalamus
Temporal Lobe,1.0,0.5812324929971989,0.6214128971055168,0.4789915966386555,0.5035740549719905,0.4586719148943022,0.4664045260795373
Frontal Lobe,0.5812324929971989,1.0,0.7722031030457168,0.5366946778711484,0.39901901878799245,0.15046232027992687,0.4598835573394106
Cingulate,0.6214128971055168,0.7722031030457168,1.0,0.2796779238667396,0.1973308276778196,0.26009471074812873,0.2912860753692148
Parietal Lobe,0.4789915966386555,0.5366946778711484,0.2796779238667396,1.0,0.7271200103519863,0.3720930378617186,0.5000961979035252
Occipital Lobe,0.5035740549719905,0.39901901878799245,0.1973308276778196,0.7271200103519863,1.0,0.09589233989845239,0.5268596738108894
Insula,0.4586719148943022,0.15046232027992687,0.26009471074812873,0.3720930378617186,0.09589233989845239,1.0,0.10234577705697825
Hypothalamus,0.4664045260795373,0.4598835573394106,0.2912860753692148,0.5000961979035252,0.5268596738108894,0.10234577705697825,1.0
